Product ID,Product Name,Product Category,Product Description,Price,Stock Quantity,Supplier Name,Supplier Contact,Warranty Period,Product Dimensions,Manufacturing Date,Expiration Date,SKU,Product Tags,Color/Size Variations,Product Availability (Online/Store),Minimum Order Quantity,Return Policy,Seasonal Product,Supplier Location,Manufacturing Process,Product Ratings,Product Images
4K8M6ZND,Smartphone,Electronics,Product_NGMUW,195.5,3,Supplier_65G,ZJWOX@supplier.com,3,8x15x17 cm,2023-07-30,2024-01-01,81QGFG,"9AL,B7V",Green/Large,Online,4,No Returns,Yes,Location_V1MUR,Automated,1,img_3Y4ZT.jpg
XJHZSR49,Smartphone,Electronics,Product_BNPTJ,192.58,59,Supplier_JIL,P8SLP@supplier.com,2,18x14x14 cm,2023-03-15,2026-01-01,46Y0AV,"PAJ,P7C",Red/Small,Both,5,Exchange Only,No,Location_3JGJ9,Automated,2,img_XB0MZ.jpg
NIVM4HGP,Headphones,Clothing,Product_0NEQ2,83.81,36,Supplier_KH8,HUV6D@supplier.com,2,13x11x11 cm,2023-03-15,2024-01-01,CMW7A7,"WWX,8CV",Red/Small,Both,2,Exchange Only,No,Location_Y4MRB,Manual,4,img_RVBV2.jpg
1CX320HK,Headphones,Home Appliances,Product_SNXIT,377.19,90,Supplier_AUQ,WWHFH@supplier.com,1,16x14x5 cm,2023-01-01,2025-01-01,DQ5NE6,"A5C,KC0",Red/Small,Both,5,Exchange Only,No,Location_KY8KL,Automated,4,img_E2WB5.jpg
QMO2BJCU,Laptop,Electronics,Product_5NX9O,472.25,19,Supplier_N4L,7R3GO@supplier.com,3,14x12x12 cm,2023-03-15,2026-01-01,MQMZAU,"6Q0,2CU",Blue/Medium,Store,2,Exchange Only,Yes,Location_WW04K,Automated,4,img_NWS24.jpg
9ARGZTPK,Smartphone,Home Appliances,Product_J8UIJ,168.07,88,Supplier_1OO,EP007@supplier.com,3,15x10x13 cm,2023-03-15,2024-01-01,IP8AGV,"GMZ,VD0",Green/Large,Store,5,Exchange Only,Yes,Location_4ZNJF,Manual,4,img_YLLC2.jpg
OYRU4GRW,Smartphone,Clothing,Product_PEWYL,220.31,19,Supplier_GSY,A798F@supplier.com,2,10x19x19 cm,2023-01-01,2024-01-01,BA0C0J,"6BB,GPH",Red/Small,Store,3,Exchange Only,No,Location_0M5M2,Automated,3,img_DXO2B.jpg
4XWTRW18,Monitor,Home Appliances,Product_QSN23,77.94,10,Supplier_3BK,N7T7G@supplier.com,3,5x14x8 cm,2023-07-30,2026-01-01,YP2EZP,"WJP,CZE",Green/Large,Both,5,30 Days,Yes,Location_SINHT,Manual,4,img_QO5KJ.jpg
77YLHVWR,Laptop,Clothing,Product_2GKF6,27.6,97,Supplier_P9V,ZSOIV@supplier.com,3,16x11x8 cm,2023-07-30,2024-01-01,6NWCGD,"G52,01S",Green/Large,Store,1,30 Days,Yes,Location_7V4T7,Automated,4,img_F3UDK.jpg
4IG55FUQ,Headphones,Electronics,Product_JQCOO,163.26,22,Supplier_6SA,VQU7I@supplier.com,1,15x17x6 cm,2023-01-01,2024-01-01,A6K8TO,"WS8,YWW",Green/Large,Online,4,30 Days,No,Location_YSRD8,Automated,5,img_LAALU.jpg
V4W618EU,Smartphone,Electronics,Product_YYD5J,33.87,34,Supplier_HF6,Z7VYM@supplier.com,1,16x14x8 cm,2023-03-15,2026-01-01,T4D2IM,"5LA,COF",Blue/Medium,Store,4,30 Days,No,Location_LDNHQ,Automated,1,img_OO1R0.jpg
K7AQI0SA,Monitor,Home Appliances,Product_BH0ON,338.57,67,Supplier_OJ1,3FUWR@supplier.com,3,17x16x17 cm,2023-07-30,2024-01-01,AJ9CMB,"KKB,3B8",Red/Small,Online,4,No Returns,Yes,Location_72F0T,Automated,3,img_EAV1Q.jpg
MLWSVWZK,Smartphone,Electronics,Product_58YQD,81.3,10,Supplier_JVT,LRP5X@supplier.com,1,20x15x14 cm,2023-01-01,2025-01-01,XMZ3JG,"HT7,D72",Blue/Medium,Both,4,No Returns,No,Location_VG013,Automated,1,img_4F7N3.jpg
43NSL9DL,Smartphone,Electronics,Product_1UPJ9,25.03,23,Supplier_WWC,T5ZX2@supplier.com,1,10x18x17 cm,2023-03-15,2025-01-01,C5JREZ,"UYE,BSM",Red/Small,Both,5,Exchange Only,No,Location_PYIHP,Automated,4,img_4WQPL.jpg
FAJ1GFAO,Smartphone,Home Appliances,Product_14V4L,214.88,32,Supplier_QRJ,JQX7W@supplier.com,2,16x5x12 cm,2023-03-15,2026-01-01,D9WBJR,"6QA,MGR",Blue/Medium,Online,2,30 Days,Yes,Location_P6W8Q,Automated,1,img_J45H9.jpg
VV8Z9QC5,Monitor,Clothing,Product_AOSFI,125.91,37,Supplier_45M,VW2AT@supplier.com,3,18x12x12 cm,2023-01-01,2025-01-01,70YZDN,"X6W,EE2",Green/Large,Store,1,30 Days,Yes,Location_BW06Q,Automated,3,img_DK7FF.jpg
K8UQUUAC,Headphones,Home Appliances,Product_WCCJH,95.79,34,Supplier_DO4,C3ZQW@supplier.com,1,19x20x12 cm,2023-01-01,2025-01-01,IPIV0E,"65I,PSR",Blue/Medium,Store,4,No Returns,No,Location_2V81F,Automated,1,img_QKUXS.jpg
30CFHTR6,Headphones,Clothing,Product_LP4Q1,385.71,38,Supplier_RPW,B9LVZ@supplier.com,1,16x15x20 cm,2023-01-01,2024-01-01,X52JBS,"M35,LA7",Red/Small,Store,5,No Returns,Yes,Location_ZAE3E,Automated,4,img_XLSP3.jpg
ZGQP4K2N,Monitor,Electronics,Product_NHKMV,492.0,50,Supplier_P15,RPH4Y@supplier.com,1,15x8x13 cm,2023-03-15,2025-01-01,0M036H,"9RF,KZ0",Green/Large,Both,2,No Returns,No,Location_2K3H9,Manual,1,img_TTKJ6.jpg
ZV1L9R6R,Monitor,Electronics,Product_X4XK6,249.16,19,Supplier_1NV,2WN8C@supplier.com,1,10x9x16 cm,2023-01-01,2025-01-01,5DWY58,"7Y9,YQ8",Red/Small,Both,2,Exchange Only,No,Location_BAKQM,Manual,4,img_NBTM2.jpg
584WXBT3,Headphones,Clothing,Product_48Z6Y,101.72,72,Supplier_GCM,YPLB3@supplier.com,2,13x13x12 cm,2023-01-01,2024-01-01,9R56MJ,"BN7,P86",Green/Large,Online,2,30 Days,No,Location_W8ELK,Manual,5,img_V7TOJ.jpg
H4LLODVG,Headphones,Clothing,Product_K33WD,242.88,71,Supplier_F6A,W7BMP@supplier.com,1,10x20x12 cm,2023-01-01,2026-01-01,UGTJ7Q,"MMZ,0TR",Red/Small,Online,4,Exchange Only,Yes,Location_ESJYD,Manual,3,img_TGV50.jpg
MT2ZYLTJ,Laptop,Home Appliances,Product_35VJH,341.85,30,Supplier_HK8,OOKY9@supplier.com,2,7x12x8 cm,2023-07-30,2025-01-01,E4XZAU,"BQY,IC1",Green/Large,Store,5,Exchange Only,Yes,Location_VX1C7,Automated,1,img_0EG98.jpg
ANM1G2YY,Monitor,Electronics,Product_E1YQO,358.68,51,Supplier_6Y4,19MNA@supplier.com,1,6x15x18 cm,2023-01-01,2025-01-01,LI4Q5W,"AQI,O2Z",Red/Small,Store,4,No Returns,Yes,Location_PO8FV,Automated,4,img_E5JCL.jpg
S3ZO8UEZ,Headphones,Home Appliances,Product_5Z6O6,125.73,56,Supplier_55L,2KBIF@supplier.com,2,12x12x15 cm,2023-01-01,2026-01-01,UBCQ2K,"1E4,IS5",Red/Small,Online,5,No Returns,Yes,Location_T4YKW,Automated,5,img_UD9WV.jpg
BHURH8D1,Monitor,Clothing,Product_66U4S,112.7,93,Supplier_NRQ,LRBDC@supplier.com,2,6x16x11 cm,2023-01-01,2026-01-01,0SA54J,"0F3,UW0",Blue/Medium,Online,5,30 Days,Yes,Location_IWN15,Automated,5,img_Y33I0.jpg
NVCDFB0O,Monitor,Clothing,Product_8HICF,248.74,55,Supplier_K25,T8HSX@supplier.com,2,8x20x19 cm,2023-03-15,2026-01-01,32HG4F,"RAV,NVC",Blue/Medium,Online,5,No Returns,No,Location_A7MYG,Automated,5,img_QSQJT.jpg
JG1VIS9K,Laptop,Clothing,Product_1YXAB,314.33,30,Supplier_MRO,CLNB1@supplier.com,3,7x10x8 cm,2023-01-01,2024-01-01,R7N5ZJ,"PRV,WBG",Green/Large,Online,5,No Returns,Yes,Location_GMKBP,Automated,5,img_VIHYL.jpg
ZC4O35YN,Laptop,Electronics,Product_V8KP9,227.88,48,Supplier_ZPZ,K45XJ@supplier.com,1,10x17x13 cm,2023-01-01,2025-01-01,BQPHBL,"333,7DM",Red/Small,Both,1,No Returns,No,Location_X4GFP,Manual,3,img_2ZCZR.jpg
UVGHZ6ZX,Headphones,Electronics,Product_E4AYW,466.31,41,Supplier_K2C,D248R@supplier.com,1,19x8x13 cm,2023-07-30,2026-01-01,PBITXN,"L0M,DXA",Green/Large,Online,5,No Returns,Yes,Location_KITFY,Automated,5,img_RXZDR.jpg
AO35LLVD,Laptop,Electronics,Product_HAD55,146.62,20,Supplier_0K3,3RWWF@supplier.com,2,15x17x6 cm,2023-01-01,2026-01-01,ZC80V8,"BRP,NK7",Green/Large,Online,2,No Returns,No,Location_3D5JR,Automated,5,img_VQ4DT.jpg
RJMXLF86,Laptop,Electronics,Product_3OLVE,446.09,90,Supplier_SH0,SVSJN@supplier.com,1,8x9x5 cm,2023-03-15,2026-01-01,MGL91T,"06Q,QE2",Green/Large,Online,3,30 Days,Yes,Location_WLC5U,Manual,5,img_JK2BB.jpg
E4OBX8CJ,Laptop,Clothing,Product_NEWV3,312.0,99,Supplier_N2P,GHZZS@supplier.com,2,15x15x10 cm,2023-07-30,2025-01-01,7M0H49,"F9I,BCB",Red/Small,Online,4,No Returns,Yes,Location_ZD3VC,Manual,1,img_L69FM.jpg
Y0FJGOBP,Monitor,Electronics,Product_JJA4W,492.34,77,Supplier_TRY,YAIQI@supplier.com,2,7x13x18 cm,2023-03-15,2024-01-01,1GG0IP,"RNL,0TM",Red/Small,Store,5,Exchange Only,Yes,Location_AO93P,Automated,4,img_FKXY3.jpg
FISKTYHI,Smartphone,Electronics,Product_IZ4MG,54.06,79,Supplier_UNZ,RGGOH@supplier.com,2,8x6x17 cm,2023-01-01,2024-01-01,49II8G,"CYD,MAF",Green/Large,Store,2,Exchange Only,No,Location_RDXJ7,Manual,4,img_JC0BV.jpg
IVPWAELI,Laptop,Home Appliances,Product_IKIGZ,351.28,15,Supplier_HJR,9MGT2@supplier.com,3,16x6x9 cm,2023-03-15,2024-01-01,5SINFZ,"PLD,3U5",Red/Small,Store,2,Exchange Only,Yes,Location_NRQFE,Manual,1,img_YRS8D.jpg
L3JS4AAT,Laptop,Home Appliances,Product_7PPK6,118.8,23,Supplier_EWQ,GIHNF@supplier.com,3,11x20x15 cm,2023-03-15,2024-01-01,KPEYZ6,"VOH,9MA",Blue/Medium,Both,1,Exchange Only,No,Location_FET2D,Automated,2,img_OB9MI.jpg
JQZ99BY1,Headphones,Electronics,Product_7PV8U,292.68,34,Supplier_787,6CZ19@supplier.com,2,10x7x7 cm,2023-01-01,2025-01-01,ZI2J6X,"WWQ,WMC",Blue/Medium,Store,4,Exchange Only,Yes,Location_Y05J4,Automated,5,img_YZYOW.jpg
OUAZ6RWE,Smartphone,Clothing,Product_T8XMX,57.67,39,Supplier_RRY,DJ1UT@supplier.com,3,15x10x5 cm,2023-07-30,2025-01-01,8UFLGG,"5FV,2SV",Blue/Medium,Online,2,No Returns,Yes,Location_ZW3SD,Manual,5,img_Q2EY3.jpg
V88LSHNH,Laptop,Electronics,Product_L5AJM,494.06,52,Supplier_QV8,JNMPW@supplier.com,2,14x13x17 cm,2023-01-01,2024-01-01,UTNAPW,"YJ4,V9M",Blue/Medium,Both,1,No Returns,Yes,Location_UBJVK,Manual,1,img_VI4M0.jpg
2ZDLDPAZ,Monitor,Clothing,Product_L5YDF,317.57,13,Supplier_QHE,PPZ4C@supplier.com,3,12x7x5 cm,2023-07-30,2025-01-01,6GMDSQ,"5TN,O3K",Blue/Medium,Both,4,Exchange Only,Yes,Location_9T424,Automated,5,img_QNRA2.jpg
0IEI6R6E,Laptop,Electronics,Product_EMF48,400.67,60,Supplier_WOL,GFIUU@supplier.com,1,17x15x7 cm,2023-07-30,2025-01-01,Q04BNU,"A1Y,IVQ",Blue/Medium,Online,3,30 Days,Yes,Location_7ENXU,Manual,1,img_WO99Y.jpg
V54BW1JB,Smartphone,Electronics,Product_QXWYC,300.77,21,Supplier_Z56,15IXG@supplier.com,2,20x18x17 cm,2023-01-01,2025-01-01,R470NU,"6QF,QJB",Red/Small,Store,3,Exchange Only,No,Location_OUJXL,Automated,4,img_7WQKR.jpg
PMY05D4S,Monitor,Clothing,Product_IRMVK,330.71,32,Supplier_GVP,ETOCC@supplier.com,1,7x14x5 cm,2023-03-15,2025-01-01,ON777I,"ZF5,6ZM",Green/Large,Store,2,Exchange Only,No,Location_0D6WW,Automated,5,img_0AZOL.jpg
BKE6T2VI,Laptop,Home Appliances,Product_T0CZ2,276.15,36,Supplier_OIL,DON02@supplier.com,1,9x10x11 cm,2023-07-30,2025-01-01,MSUHMM,"ZBU,8LP",Red/Small,Store,3,30 Days,No,Location_6XDJC,Manual,2,img_NCXJ9.jpg
6P8SRIKU,Smartphone,Home Appliances,Product_HDXGA,306.58,43,Supplier_VP4,YLZVF@supplier.com,3,7x5x8 cm,2023-01-01,2024-01-01,MYHB1S,"URW,YCY",Red/Small,Store,5,No Returns,No,Location_DGMKD,Manual,4,img_FNNFX.jpg
UXGADD6Y,Monitor,Home Appliances,Product_MIO9I,262.44,49,Supplier_BXE,X9SO3@supplier.com,3,16x12x14 cm,2023-01-01,2025-01-01,E1NI20,"VJB,9H7",Green/Large,Online,1,Exchange Only,Yes,Location_ZC69K,Manual,5,img_V6WBN.jpg
4TE3BTRZ,Headphones,Clothing,Product_PBJUA,388.29,69,Supplier_7MZ,OMS20@supplier.com,1,8x6x7 cm,2023-01-01,2025-01-01,QHW5QA,"C8Q,S46",Green/Large,Online,2,30 Days,Yes,Location_5QYUL,Automated,4,img_EIID6.jpg
8XXF3B8D,Laptop,Electronics,Product_418FW,15.38,98,Supplier_H26,KQOPE@supplier.com,2,9x10x16 cm,2023-07-30,2026-01-01,SU2DPY,"Z4N,MKF",Green/Large,Both,5,30 Days,Yes,Location_P3RDM,Automated,3,img_61409.jpg
LDBOQNET,Headphones,Home Appliances,Product_EEZ6M,13.4,13,Supplier_Z0U,3N4WQ@supplier.com,1,9x5x13 cm,2023-01-01,2026-01-01,3ORBE0,"ED1,N03",Green/Large,Both,2,30 Days,No,Location_4OCQ3,Manual,2,img_Q2UZ6.jpg
MMYCC550,Laptop,Electronics,Product_0U6VX,244.31,50,Supplier_U2W,YGXRR@supplier.com,3,5x6x18 cm,2023-01-01,2026-01-01,52D75L,"4Q9,4US",Red/Small,Both,5,Exchange Only,Yes,Location_REQDL,Manual,5,img_KJXY3.jpg
W5BPUGAV,Monitor,Clothing,Product_V5U1A,16.38,5,Supplier_7X3,WEB1O@supplier.com,2,12x17x14 cm,2023-01-01,2026-01-01,C1L8FF,"K0J,4OD",Red/Small,Store,5,30 Days,Yes,Location_LGV19,Automated,4,img_A1DKP.jpg
D10S7Y61,Smartphone,Home Appliances,Product_Q9IJZ,230.16,63,Supplier_861,Z3PPG@supplier.com,2,7x9x11 cm,2023-07-30,2024-01-01,H9A5T5,"0U0,4M7",Blue/Medium,Store,2,No Returns,Yes,Location_7KK20,Automated,4,img_4UVJT.jpg
N4HXXEXO,Monitor,Home Appliances,Product_02YE8,218.06,98,Supplier_SHH,9TJIM@supplier.com,3,17x20x11 cm,2023-03-15,2026-01-01,9B6LCQ,"95X,IZV",Green/Large,Online,5,No Returns,Yes,Location_EGX25,Manual,3,img_8PPH2.jpg
4V6LD4TF,Headphones,Electronics,Product_7RNEO,264.84,65,Supplier_L2I,WQFNS@supplier.com,2,12x16x15 cm,2023-01-01,2026-01-01,JBU2F2,"R5I,3BN",Red/Small,Online,3,30 Days,Yes,Location_QW9MR,Manual,2,img_U4XXZ.jpg
ONK8L2DT,Monitor,Home Appliances,Product_VGL69,174.49,12,Supplier_4GM,EPRTC@supplier.com,1,5x7x10 cm,2023-03-15,2025-01-01,O8D8HH,"O1J,9H2",Green/Large,Both,3,30 Days,No,Location_YVFO7,Automated,4,img_SCQTX.jpg
WWWIBFB1,Monitor,Clothing,Product_ZMU6T,58.08,90,Supplier_X82,ADLKF@supplier.com,2,5x18x10 cm,2023-07-30,2026-01-01,YH1TW7,"SAH,VNE",Blue/Medium,Both,1,No Returns,Yes,Location_16C22,Automated,4,img_JOR6K.jpg
4EMYRR40,Headphones,Electronics,Product_ECHM1,56.08,44,Supplier_3JK,WJOH6@supplier.com,2,7x17x14 cm,2023-01-01,2025-01-01,F94KPK,"RIU,X2K",Green/Large,Online,1,No Returns,No,Location_A9KXC,Automated,3,img_OLF88.jpg
3YMEG1FK,Laptop,Electronics,Product_KUA3L,308.79,54,Supplier_N7A,HJIPZ@supplier.com,1,6x15x5 cm,2023-03-15,2025-01-01,OX05EM,"MFA,J8G",Red/Small,Store,1,No Returns,No,Location_NWN5J,Manual,5,img_IWXPR.jpg
F194H5K1,Monitor,Electronics,Product_EPS3E,265.53,71,Supplier_EC8,ZZGDB@supplier.com,2,9x11x19 cm,2023-01-01,2024-01-01,GMW9NZ,"NHY,8MW",Blue/Medium,Both,4,No Returns,Yes,Location_UJZAP,Manual,5,img_URDNM.jpg
7WY2OE68,Monitor,Electronics,Product_6FSMF,319.57,94,Supplier_A4T,55R6W@supplier.com,1,7x17x9 cm,2023-01-01,2024-01-01,235748,"PHM,AOO",Red/Small,Both,5,Exchange Only,Yes,Location_GG7FR,Automated,2,img_IJ79Q.jpg
QG37LHCA,Monitor,Clothing,Product_2F2PY,177.11,29,Supplier_6JM,30UDK@supplier.com,2,8x7x11 cm,2023-07-30,2026-01-01,A2QFT0,"2MY,W3T",Green/Large,Store,3,Exchange Only,Yes,Location_ZN07G,Manual,4,img_04XTJ.jpg
ST74J2SI,Monitor,Clothing,Product_JYSAV,440.65,45,Supplier_CLX,WR457@supplier.com,1,8x13x5 cm,2023-07-30,2026-01-01,0104TA,"44J,U6W",Red/Small,Both,5,30 Days,Yes,Location_FIS8F,Automated,4,img_XK1D2.jpg
57SYAFBI,Laptop,Clothing,Product_1J3ZR,79.14,57,Supplier_KKK,9AE9M@supplier.com,2,14x11x17 cm,2023-07-30,2025-01-01,Z9T2T8,"BJX,AUB",Blue/Medium,Online,5,No Returns,No,Location_WAION,Automated,2,img_RWR54.jpg
YUUJ5U59,Monitor,Electronics,Product_GAE5T,48.61,31,Supplier_62U,Y8A7L@supplier.com,2,8x14x16 cm,2023-07-30,2024-01-01,0SUQ6E,"PX7,O2C",Blue/Medium,Both,2,No Returns,No,Location_C7PIB,Automated,5,img_UND0W.jpg
401YNP7Z,Smartphone,Home Appliances,Product_0JMPE,102.46,17,Supplier_VQB,1AVX1@supplier.com,1,16x17x7 cm,2023-01-01,2025-01-01,1TF5BV,"FL2,AYF",Blue/Medium,Both,3,No Returns,Yes,Location_L6SDN,Manual,1,img_KKB2Z.jpg
14MO369Y,Laptop,Clothing,Product_L5TTM,105.6,6,Supplier_FHO,MO3N8@supplier.com,1,14x14x19 cm,2023-03-15,2026-01-01,O6LFIN,"RFI,0HG",Green/Large,Store,5,No Returns,No,Location_M24F5,Automated,4,img_LJB2T.jpg
GYAS1VJA,Headphones,Clothing,Product_0YUBK,191.31,43,Supplier_AW5,4U09N@supplier.com,2,14x5x15 cm,2023-07-30,2026-01-01,G3MTYD,"3LX,HUR",Green/Large,Online,1,Exchange Only,Yes,Location_Y4Y46,Manual,1,img_6YTZZ.jpg
WCJ5VQ0C,Smartphone,Clothing,Product_GQ3F1,435.17,10,Supplier_VXV,OVU58@supplier.com,2,7x7x7 cm,2023-01-01,2024-01-01,M0IJRW,"ENH,M3K",Red/Small,Store,2,30 Days,Yes,Location_6D8YU,Automated,1,img_5CFVI.jpg
3CA2484Q,Headphones,Home Appliances,Product_7M8SP,264.12,67,Supplier_XJK,Y0NQN@supplier.com,2,20x17x7 cm,2023-03-15,2024-01-01,116BO4,"TRZ,WSM",Red/Small,Online,2,No Returns,No,Location_7ZYAK,Automated,4,img_H23IJ.jpg
C0H05848,Monitor,Clothing,Product_87PP4,404.93,25,Supplier_DO5,WVB6C@supplier.com,2,17x8x19 cm,2023-07-30,2024-01-01,L5HM6B,"VT5,GQ7",Green/Large,Store,4,30 Days,Yes,Location_CEC4A,Automated,4,img_X35E5.jpg
KZDD7RML,Smartphone,Home Appliances,Product_72A2Q,494.19,100,Supplier_GW6,T8PX0@supplier.com,2,12x11x15 cm,2023-03-15,2024-01-01,GX2MBN,"YOU,KD5",Blue/Medium,Both,1,30 Days,Yes,Location_LYQQL,Automated,2,img_APEFS.jpg
PLZYT8QL,Monitor,Clothing,Product_TRVGS,470.39,28,Supplier_76E,L3GBJ@supplier.com,1,14x19x19 cm,2023-07-30,2026-01-01,XQV2PG,"5I0,CWO",Blue/Medium,Online,2,No Returns,No,Location_FPJTX,Manual,3,img_BT369.jpg
Q9CDS4G2,Monitor,Clothing,Product_J6P4E,329.34,47,Supplier_59U,59Z3S@supplier.com,2,10x12x14 cm,2023-07-30,2025-01-01,EMERW3,"AIK,UQN",Red/Small,Online,1,30 Days,No,Location_B9PFZ,Automated,5,img_U1FNO.jpg
UP9IMKGN,Headphones,Clothing,Product_WEK68,480.87,61,Supplier_747,Y0PY6@supplier.com,3,17x16x16 cm,2023-07-30,2026-01-01,OIY81F,"CSU,HC5",Blue/Medium,Store,1,30 Days,Yes,Location_X0H32,Manual,4,img_6YKON.jpg
PVCYO196,Smartphone,Clothing,Product_MZD2V,493.36,37,Supplier_MD0,K94WC@supplier.com,3,12x20x14 cm,2023-01-01,2024-01-01,BN5DK3,"NU1,OVV",Blue/Medium,Store,1,Exchange Only,No,Location_3IOA7,Automated,5,img_BL23X.jpg
TGECQ5ZB,Monitor,Home Appliances,Product_8G6LQ,251.72,58,Supplier_L5N,DYI7E@supplier.com,3,19x6x5 cm,2023-07-30,2026-01-01,T9RGPP,"TL7,59C",Red/Small,Online,5,30 Days,No,Location_EHULZ,Automated,4,img_LM0G6.jpg
JB17J2QB,Headphones,Home Appliances,Product_AD503,487.92,98,Supplier_2NG,IH1CT@supplier.com,3,15x14x16 cm,2023-03-15,2026-01-01,EXR0NS,"QKZ,7MX",Green/Large,Store,4,Exchange Only,Yes,Location_SAEPV,Automated,3,img_QRO2D.jpg
J5XKJEKY,Laptop,Home Appliances,Product_5ES4Y,59.08,38,Supplier_G1A,P7K9K@supplier.com,2,18x17x9 cm,2023-03-15,2025-01-01,CZXZHC,"HJS,PHA",Red/Small,Online,2,30 Days,No,Location_CZOUH,Automated,4,img_OSF12.jpg
XLLMY46U,Laptop,Home Appliances,Product_F2MIZ,184.64,95,Supplier_0VL,XYIPK@supplier.com,1,17x12x17 cm,2023-07-30,2026-01-01,W893SS,"CDJ,IX6",Blue/Medium,Online,4,No Returns,No,Location_PPXT8,Automated,2,img_BDJC9.jpg
RG8585VX,Monitor,Clothing,Product_FUH51,94.7,9,Supplier_9H3,Q6J4W@supplier.com,1,8x11x6 cm,2023-03-15,2025-01-01,NHH1MT,"DKI,3JV",Red/Small,Both,2,Exchange Only,No,Location_K2HRG,Automated,2,img_H0N1K.jpg
KOUBETDI,Laptop,Electronics,Product_P0EK1,161.62,54,Supplier_D6A,CGIT1@supplier.com,2,13x8x14 cm,2023-01-01,2025-01-01,HGUCER,"V5P,XWM",Green/Large,Both,2,No Returns,Yes,Location_EKUEK,Automated,2,img_HF3A8.jpg
U53KP4SE,Laptop,Clothing,Product_KM2EH,272.06,19,Supplier_UK9,XWJ2T@supplier.com,3,18x16x6 cm,2023-07-30,2025-01-01,3ZCJ2U,"HD0,R90",Green/Large,Store,3,30 Days,Yes,Location_4R9Y4,Automated,2,img_FEMR3.jpg
YIF9L6YB,Headphones,Home Appliances,Product_CWY2D,328.2,68,Supplier_8GE,QDJAD@supplier.com,3,12x18x11 cm,2023-03-15,2025-01-01,49Q0KB,"YE9,E4X",Red/Small,Both,3,No Returns,Yes,Location_7L9FY,Automated,2,img_KT7BU.jpg
R5CBIYGG,Headphones,Clothing,Product_6I0O3,364.23,50,Supplier_GZO,LKOAS@supplier.com,2,9x12x14 cm,2023-07-30,2026-01-01,QG8WK7,"FCD,AZX",Blue/Medium,Store,3,30 Days,No,Location_UZ8KO,Manual,3,img_VJACU.jpg
