Order ID,Tracking ID,Shipment Mode,Shipping Address,Delivery Date,Order Value,Product Description,Shipment Status,Order Total,Product ID,Return Status,Estimated Delivery Date,Customs Clearance Status,Tracking Events,Shipment Cost
W4HJUCNA31,MT6EYS6J,Air,"FTLVE895W3 Street, City, Country",2023-12-15,154.4,Product_RLMD8,Shipped,174.64,EIPYHA1Q,Returned,2023-12-20,Pending,Event_O0E7T,28.91
9CSJGMBPNV,G908U95H,Sea,"XGTFT88IY2 Street, City, Country",2023-12-15,418.19,Product_Y2UIB,In Transit,636.39,GG64XSSK,Returned,2023-12-10,Pending,Event_066LE,10.19
Z4LUYR69E0,O3GWXNPT,Sea,"QJRL7NJ84J Street, City, Country",2023-12-15,462.92,Product_1V98R,Shipped,453.85,JRL3FVLD,Returned,2023-12-15,Cleared,Event_HES36,42.17
9TZHCX8WDQ,J05WLE1C,Sea,"XLSWBNH3EV Street, City, Country",2023-12-10,159.18,Product_UD5OB,Shipped,477.18,RIPLE1NS,Returned,2023-12-10,Cleared,Event_G0UCS,34.74
FVX2EZJU27,ZLLEGCDA,Sea,"38RVHBXYAV Street, City, Country",2023-12-15,294.03,Product_L59JL,Delivered,323.86,XJHHRG2P,Not Returned,2023-12-10,Cleared,Event_CXQY1,21.56
5AOYCKC9HW,Y62BCNWG,Air,"OOJKTIL7ML Street, City, Country",2023-12-20,322.75,Product_VXO72,Shipped,232.86,YL3BKZX6,Not Returned,2023-12-15,Pending,Event_6LIVG,28.09
5MF6AI9LPC,3D9A4HL6,Sea,"J0VZ6TSX2W Street, City, Country",2023-12-20,349.67,Product_VF84O,Delivered,997.06,2OC099UR,Not Returned,2023-12-15,Cleared,Event_2CJ6M,46.12
U1FYIS9OE8,NQ5JHJMM,Land,"YAU5CVBTW1 Street, City, Country",2023-12-20,417.99,Product_D0QGG,Shipped,471.3,15UQ51ED,Returned,2023-12-10,Pending,Event_I9ENP,49.48
MKANR31ZDR,HOFU4D4J,Air,"ZOL13C6Y3S Street, City, Country",2023-12-10,264.27,Product_N3M03,In Transit,653.25,VP1KCG6D,Returned,2023-12-15,Pending,Event_KL24X,16.24
4EEHHHSFNH,2390NP2I,Sea,"1JAOQS8UF1 Street, City, Country",2023-12-10,462.13,Product_LGSD4,Shipped,702.95,HF8L9IVL,Returned,2023-12-10,Cleared,Event_42SH9,19.2
XYCXYKBHSY,VLDA8I9D,Sea,"OZB1JNWHOZ Street, City, Country",2023-12-15,339.01,Product_AWOUC,Delivered,427.96,EZDQKG0L,Returned,2023-12-15,Cleared,Event_MNQAT,23.82
LXMNGJ6E8H,EB0TX8JM,Air,"FELCTRAN4A Street, City, Country",2023-12-10,293.6,Product_R8KN4,Shipped,832.62,JTYBD1ZD,Not Returned,2023-12-10,Cleared,Event_5VTFW,32.22
J0YMGE692Y,RZ7GSTY9,Air,"12RJMM6VML Street, City, Country",2023-12-20,342.9,Product_9GS7M,Delivered,928.74,BLFXLGHQ,Not Returned,2023-12-10,Pending,Event_T0O1S,38.93
45YTFDOQIW,UET7JMDC,Sea,"DDR9DE8A56 Street, City, Country",2023-12-20,357.19,Product_Q1LWZ,Shipped,998.22,BASJQIMY,Returned,2023-12-10,Cleared,Event_TQOG2,12.06
LW04EJO3AN,ICSCJ5P4,Air,"BMENPHDJZQ Street, City, Country",2023-12-15,279.19,Product_GKFSR,In Transit,74.67,8LY33QRI,Not Returned,2023-12-15,Pending,Event_WMXI4,14.38
6DYJHDCAAK,2LYDIC90,Sea,"1HQRWA146A Street, City, Country",2023-12-15,74.38,Product_3UKJ8,In Transit,81.53,3H74HCL9,Returned,2023-12-20,Pending,Event_CRIJX,15.15
HBTUEPZYD0,4A2LFUNV,Air,"I4WTKY658A Street, City, Country",2023-12-10,62.46,Product_EYBHE,Delivered,555.71,R9XHY6IR,Not Returned,2023-12-10,Pending,Event_DD2GR,10.63
LQQTFS8HV0,1F4F0T3Y,Air,"7TSSAWX5N8 Street, City, Country",2023-12-10,452.78,Product_I3YQ3,Shipped,919.33,YRL46M6W,Not Returned,2023-12-10,Cleared,Event_JGOMG,10.97
I1XE86I9GF,PVL48IET,Land,"C27Y2LYVZL Street, City, Country",2023-12-10,162.85,Product_5EIOW,Shipped,548.37,ZIZDMQL8,Not Returned,2023-12-20,Cleared,Event_F5I2O,17.7
IYJ8B1P25B,J0LH8FZH,Land,"8OL7GA225Z Street, City, Country",2023-12-15,467.86,Product_AYTM7,In Transit,920.91,22K2F0L1,Returned,2023-12-15,Pending,Event_0GGIA,46.95
BGZN6QKPZX,6FERAB5T,Sea,"0HOLR1OUKU Street, City, Country",2023-12-20,100.6,Product_D4ZUR,Shipped,480.72,X58JBJDJ,Returned,2023-12-15,Pending,Event_98RHA,16.24
V4QNVB88DR,64C8SYXA,Sea,"PXEQ2A7639 Street, City, Country",2023-12-20,149.79,Product_HLQON,Delivered,804.93,0DZK5PIO,Returned,2023-12-20,Pending,Event_DSDHC,25.69
546GI3QONE,C2X9CSZK,Land,"EIKYM9L6XZ Street, City, Country",2023-12-15,381.76,Product_C2AF7,Delivered,135.38,M5WB7VMV,Not Returned,2023-12-15,Cleared,Event_Q66SJ,27.22
Z68BG9JNI3,CTAVG6TZ,Air,"JR5GBB6X3Z Street, City, Country",2023-12-20,417.47,Product_SKYRD,In Transit,352.67,MHEV2MRB,Returned,2023-12-20,Cleared,Event_DX302,12.0
JXD34D4NUP,5OA9986E,Sea,"QYPHWUD9QD Street, City, Country",2023-12-10,392.16,Product_EYUSW,Shipped,117.14,06RR1Q7J,Returned,2023-12-10,Cleared,Event_WQRE7,41.53
LXMRE1AXNJ,ODAIIST5,Sea,"1OO97SZ3FN Street, City, Country",2023-12-15,368.64,Product_EIXHA,Delivered,325.63,CWBTETH7,Returned,2023-12-10,Cleared,Event_5KVY0,28.09
S4Y74Z0ZD1,4XZWPSZA,Air,"2UI024EBQP Street, City, Country",2023-12-15,152.08,Product_DOHMP,Shipped,542.69,RAUAVXTM,Not Returned,2023-12-10,Pending,Event_SAA57,30.65
V499RPGUSU,G3ZGJY8C,Sea,"KR94XK74A1 Street, City, Country",2023-12-20,205.78,Product_EUBH6,Delivered,85.7,HKSDGX20,Returned,2023-12-10,Pending,Event_KVTER,23.2
UO1BQ0F87U,Z5B4TWMZ,Sea,"6JEXZIF0UV Street, City, Country",2023-12-10,285.97,Product_DE83Y,Delivered,835.18,VO6Z250Q,Not Returned,2023-12-15,Pending,Event_G2UTS,19.85
AQGPZ057V9,ME094BN6,Land,"1HZHWLN4N7 Street, City, Country",2023-12-10,414.24,Product_QTYCJ,In Transit,410.1,RSMBGLWL,Not Returned,2023-12-15,Pending,Event_2JALZ,18.36
2TK4HL11YM,RE362J7T,Air,"2UH0GB40J7 Street, City, Country",2023-12-15,120.01,Product_9BA4G,In Transit,401.34,0R1WRRJY,Returned,2023-12-20,Pending,Event_GQK62,41.95
WYACVRM6AO,F146UF80,Air,"4FI49OA08C Street, City, Country",2023-12-20,184.39,Product_J208F,Shipped,417.06,0EABB8C8,Returned,2023-12-15,Cleared,Event_O99Y1,25.36
2V4TF2QVVX,80AXUXE7,Air,"FAG0YQ1GXM Street, City, Country",2023-12-15,134.98,Product_0ZQK8,Delivered,801.98,DLPHG5DR,Not Returned,2023-12-15,Pending,Event_KEXMZ,37.13
GVJ6FKBH29,ZIP963JZ,Air,"A24BU2SUCX Street, City, Country",2023-12-20,417.21,Product_SNHAL,Delivered,786.66,XUIY2NQ3,Not Returned,2023-12-15,Pending,Event_J5YKF,23.08
EVYQAA4I7V,W5X9MGVT,Air,"VDOZ9FOSLL Street, City, Country",2023-12-15,215.66,Product_74JUG,Shipped,687.18,4WUTKAR0,Returned,2023-12-20,Pending,Event_LLSMY,47.62
UQ24S9MOF1,8DHZD6LV,Sea,"4AD58Z2SKU Street, City, Country",2023-12-20,65.71,Product_108EF,Shipped,617.71,XC82UEWY,Returned,2023-12-20,Cleared,Event_7K5KQ,24.14
I24NXIZYOJ,HMVXUV80,Air,"OCN0WU29A0 Street, City, Country",2023-12-20,346.77,Product_788FI,Shipped,854.83,T2J4XFSC,Not Returned,2023-12-10,Pending,Event_A4APM,34.18
ENEOF2ZS05,1HCT310Q,Air,"GU81H3Y69O Street, City, Country",2023-12-10,124.67,Product_RM9CP,Shipped,99.26,4PAYDTCQ,Returned,2023-12-20,Cleared,Event_MID4C,15.13
ACG8UR6L7C,5N26P3U4,Sea,"AXMZ20TM89 Street, City, Country",2023-12-15,497.21,Product_4491O,In Transit,765.01,P0QJ4XCX,Returned,2023-12-15,Pending,Event_FPGSK,48.03
F2QKGRC766,6USCZCUP,Air,"JWU830M1IK Street, City, Country",2023-12-20,71.16,Product_Q458Y,In Transit,402.13,ML4F6BAF,Returned,2023-12-15,Pending,Event_TJ18C,31.92
I8NZ91VTC8,GJBNF9PT,Land,"3QHDVVTG50 Street, City, Country",2023-12-15,420.93,Product_N4F6W,In Transit,324.11,LN683LL3,Not Returned,2023-12-15,Pending,Event_K4VH1,33.8
3IO7D1Y2OD,BDN3AVY6,Land,"QB7RGY9SB5 Street, City, Country",2023-12-20,384.51,Product_2BTOY,Shipped,779.45,WNOVFL6E,Returned,2023-12-20,Pending,Event_HK69H,26.34
L9K1P5GD8E,SVS5PVNG,Air,"DJT03SNRQX Street, City, Country",2023-12-15,144.25,Product_E3LID,Shipped,453.53,ZQMEFJ5Q,Returned,2023-12-20,Cleared,Event_LNYJJ,26.61
62GYED49DZ,LLW4CL3Y,Land,"6B4SW2PNE2 Street, City, Country",2023-12-20,327.55,Product_06SM8,Delivered,681.17,CWE1XOOT,Not Returned,2023-12-15,Cleared,Event_4AD9G,48.28
N7HCD1YMO6,HUIRLGEV,Air,"G1E9PFCMIL Street, City, Country",2023-12-10,326.93,Product_922HP,In Transit,608.22,K1U0BXSY,Returned,2023-12-15,Pending,Event_WX04Q,14.74
CEPIVVS5VD,VFU1G5WI,Air,"6I9DI7L19Y Street, City, Country",2023-12-20,496.03,Product_EGDBA,Shipped,839.44,0SU9XOU9,Not Returned,2023-12-10,Pending,Event_RMEFL,22.77
KXOGLOC7TE,K9ESJFDT,Land,"SIP3ALI7DE Street, City, Country",2023-12-20,372.76,Product_HXP9G,In Transit,684.37,UWB40HZZ,Not Returned,2023-12-20,Cleared,Event_LM0OL,44.21
WI70WEBCB9,OB498IXT,Land,"SMID6MLLYC Street, City, Country",2023-12-10,66.32,Product_QDL70,In Transit,89.15,W4IQRJMZ,Returned,2023-12-20,Pending,Event_EIOG1,24.41
ZYV71J076E,FSHU4ZX9,Land,"L31VGPU38T Street, City, Country",2023-12-10,346.08,Product_21UNA,Shipped,812.66,V44TQD0O,Returned,2023-12-10,Cleared,Event_MCL2Z,15.25
TIOAO635W2,RDACFLT7,Land,"5RWM1OMHG7 Street, City, Country",2023-12-20,433.22,Product_MK95F,Shipped,616.7,B9C46SUJ,Returned,2023-12-15,Pending,Event_OMCQN,27.83
HKETLHE1DY,0Q7JQH31,Land,"5NQC8APWF4 Street, City, Country",2023-12-15,100.42,Product_92RRC,Shipped,238.83,GHNHG53B,Not Returned,2023-12-10,Cleared,Event_98POC,37.69
WA3MV74LP9,K4UT3DBP,Sea,"G24Z0PXL7X Street, City, Country",2023-12-10,221.99,Product_B9FBB,Delivered,614.87,1LVT0HBV,Not Returned,2023-12-20,Pending,Event_ELDFP,30.32
S7GZ3KX38Q,DSN4NXBN,Land,"9JJWM1AI3P Street, City, Country",2023-12-15,130.94,Product_AQIOR,In Transit,150.66,H7FZP4AD,Not Returned,2023-12-10,Pending,Event_2I0BN,14.85
57OKSFGNI0,Q0WN99XA,Land,"WU6PIXF48U Street, City, Country",2023-12-15,308.13,Product_NVR6F,Delivered,479.94,TZI75Q2Z,Returned,2023-12-20,Pending,Event_E7PV8,25.44
2W0ET00Q8L,5R8JV7W5,Sea,"A6MM2P20ZI Street, City, Country",2023-12-20,125.7,Product_UFPCU,Delivered,855.15,EULTHJAR,Returned,2023-12-10,Cleared,Event_ZYTXS,36.55
TUB5PENZAP,FR98NO2X,Sea,"8HQHOOCXZK Street, City, Country",2023-12-15,134.51,Product_KWH8W,Delivered,289.96,TZKDZWZY,Not Returned,2023-12-20,Pending,Event_9KLHG,14.97
BGTD63AJB0,59G9A0G6,Sea,"TA106LWOU4 Street, City, Country",2023-12-20,317.12,Product_PRZF0,Shipped,122.26,NQEE12DC,Returned,2023-12-20,Pending,Event_9MFP2,10.51
4O4HHJ5HYR,UKQJCI49,Air,"HQMICX7GQH Street, City, Country",2023-12-10,369.55,Product_MLDIJ,Delivered,76.59,KWV9CH04,Returned,2023-12-15,Pending,Event_QRJMW,46.03
RHS6O1HQFC,0X9RE5GX,Land,"5TNHAEESC0 Street, City, Country",2023-12-15,266.58,Product_OGG40,In Transit,283.12,GRFCRQIK,Returned,2023-12-10,Cleared,Event_Y28IM,34.74
46ZNKIMESM,MV3JVZKR,Air,"GTPDGDQM2W Street, City, Country",2023-12-20,111.49,Product_7B6J2,In Transit,381.53,MC38MQFC,Returned,2023-12-15,Cleared,Event_YQZ0T,48.08
AXOHN8GN5Z,NSFANBTQ,Sea,"1EQT6NKMKV Street, City, Country",2023-12-20,294.46,Product_7IYJ7,Shipped,100.34,WIZSYKDS,Returned,2023-12-10,Pending,Event_GVMCY,11.61
OKYGYKHCPC,HO5F53CH,Air,"2JV7TZ6HE4 Street, City, Country",2023-12-15,361.22,Product_8EM2F,Shipped,183.37,82930FHT,Returned,2023-12-20,Cleared,Event_66IIK,41.99
4RQGIN54RC,FYPEOV6C,Sea,"JYBN5XH0PZ Street, City, Country",2023-12-20,478.57,Product_MWQYQ,In Transit,82.04,P468WTEP,Not Returned,2023-12-10,Pending,Event_D6BMZ,11.16
O5YGUPSQU5,JO6UHHEG,Air,"AKVMX9UC4P Street, City, Country",2023-12-10,447.5,Product_V6QCU,In Transit,838.78,KJIUP4U5,Returned,2023-12-10,Pending,Event_4EM5D,26.52
SJCH5AWWU7,HR4FJJ8E,Land,"SDZ3ILL3PH Street, City, Country",2023-12-10,174.01,Product_0XOPF,Delivered,817.1,TNYY3M6R,Not Returned,2023-12-20,Pending,Event_ZFANR,38.63
YIOCXUSFM3,EUOB1PTT,Air,"6BBB5WZYM1 Street, City, Country",2023-12-15,128.56,Product_FEAH9,In Transit,957.69,V0R3AYSW,Returned,2023-12-10,Pending,Event_RFNC0,46.15
X2BJSE21RW,J69IQPH4,Land,"JWY8RM4KOX Street, City, Country",2023-12-10,50.36,Product_LGY24,In Transit,426.88,M7X5AUWR,Not Returned,2023-12-20,Cleared,Event_DUJR5,45.44
3Y89E8M0PW,NB5JWWXR,Land,"1WXENDG82B Street, City, Country",2023-12-20,157.83,Product_X6SRE,Delivered,178.86,SP82GXHJ,Returned,2023-12-15,Cleared,Event_DNRX6,36.26
IL0MCUHFMM,JVG4PR1C,Sea,"NPWZCUVIRH Street, City, Country",2023-12-10,274.53,Product_3SAFI,Shipped,660.04,GNBPVRJS,Returned,2023-12-15,Cleared,Event_V71T7,48.2
PSJTCCQ2HH,8MGIX5G5,Air,"SMOPOZ8UFO Street, City, Country",2023-12-20,483.47,Product_41B6K,Delivered,337.49,WEHYK2ZK,Not Returned,2023-12-20,Pending,Event_VIIW7,24.26
4SW7IABV49,E8EBGIGI,Land,"U4SLJSRDF0 Street, City, Country",2023-12-20,449.42,Product_QHEGH,In Transit,856.12,LKJUWD6V,Returned,2023-12-20,Cleared,Event_A68VT,29.57
VQK1TLN89W,5FH3CSSL,Land,"0Q3U00SIOU Street, City, Country",2023-12-10,168.91,Product_OQC81,Delivered,409.73,8KXX2GEY,Returned,2023-12-20,Cleared,Event_BCZJZ,40.55
V9V03THHZK,LLVX9OWC,Land,"XAG0PTS8XO Street, City, Country",2023-12-20,205.51,Product_R6EDZ,In Transit,941.16,LQK52IQV,Not Returned,2023-12-10,Pending,Event_MD8SB,25.79
YR3N8JFR9L,F88F7UIK,Air,"T1X28KJK2V Street, City, Country",2023-12-15,272.07,Product_ATJIU,In Transit,733.02,WQU7DHZT,Not Returned,2023-12-15,Pending,Event_27SXS,11.27
BX572RR0M9,2ED8C4EM,Air,"3948OEVT25 Street, City, Country",2023-12-20,173.39,Product_I8G0D,In Transit,232.58,JO14WDXL,Not Returned,2023-12-20,Cleared,Event_KOCUA,34.86
JX7XZ1MNMO,N60ZSOM1,Sea,"B2G5DZAVND Street, City, Country",2023-12-20,148.62,Product_03GGY,Shipped,719.89,R43F90G5,Returned,2023-12-10,Cleared,Event_6M0QU,36.33
8F13IZZ42D,911OZP76,Sea,"RSON6X4NSA Street, City, Country",2023-12-15,186.88,Product_AFSCL,Shipped,755.44,9NBKL9L7,Not Returned,2023-12-15,Cleared,Event_I26VF,36.78
YJTIVUFVJ1,I3RFNW1M,Land,"62O0BOJUHG Street, City, Country",2023-12-20,128.6,Product_R5NPX,Shipped,441.07,XBSKIDZN,Not Returned,2023-12-20,Pending,Event_WU57D,10.02
7ZRO9INTXS,LNVCSPFZ,Air,"5MOPH30HS3 Street, City, Country",2023-12-15,497.7,Product_RPEJI,Shipped,513.33,N7RMSSUB,Not Returned,2023-12-20,Cleared,Event_REXJ8,35.32
P82WMT00HZ,TBK7A0T9,Land,"EH3N52C2YC Street, City, Country",2023-12-15,62.96,Product_KJ35R,Shipped,454.51,QGZ62XHZ,Not Returned,2023-12-10,Pending,Event_0RUW3,35.05
B3IVE9E7R1,FVPZRE5R,Air,"3IFWJU24AQ Street, City, Country",2023-12-10,78.65,Product_OJQ7D,In Transit,719.02,PR3BLB0E,Returned,2023-12-15,Pending,Event_1FGYK,43.79
VUOS0PP91J,BSWAWXAW,Land,"Z6I1U461J8 Street, City, Country",2023-12-20,63.4,Product_FX3VG,In Transit,267.79,9I9X91DR,Returned,2023-12-15,Cleared,Event_MSDHG,47.91
QLTQOIFTRR,9YVU69IA,Land,"SWA58DY7L8 Street, City, Country",2023-12-15,331.43,Product_0JWH1,Delivered,975.84,78ZSE138,Not Returned,2023-12-20,Cleared,Event_8RJHQ,45.02
RL2EKE023C,X5JORKQ3,Land,"26ZSONHKDT Street, City, Country",2023-12-15,102.47,Product_H3JB9,Shipped,159.05,DPGYOYKQ,Returned,2023-12-10,Pending,Event_NBKPO,36.17
H7EF0N30CY,MVK9S4Y3,Land,"9LDX3PS37J Street, City, Country",2023-12-15,470.71,Product_MZG6U,Delivered,466.54,D52RDHG4,Not Returned,2023-12-15,Pending,Event_SSNXF,38.76
41MH5CX6RG,7PJ78OZM,Land,"9JBR3O454J Street, City, Country",2023-12-15,478.65,Product_B0W3A,Shipped,109.79,2PPKR58N,Returned,2023-12-10,Pending,Event_5UD1Q,47.89
X9WUAJ6A20,FZ087K9O,Sea,"Y6NR13BUU2 Street, City, Country",2023-12-15,367.28,Product_XHY6D,In Transit,320.21,CD0ILWEE,Returned,2023-12-20,Cleared,Event_LHICL,22.25
5J887MM3CL,S0OK6NNC,Sea,"ZNACA2HR02 Street, City, Country",2023-12-20,124.59,Product_UF9XN,Delivered,54.0,TML5CMJV,Not Returned,2023-12-10,Cleared,Event_VLKHN,10.76
J3F745MQHL,UCJO13BB,Air,"B70K0M5YBR Street, City, Country",2023-12-15,137.61,Product_OIL85,Shipped,147.34,9XXMQYNQ,Returned,2023-12-15,Cleared,Event_FQUTO,29.85
T2YII9AELR,0YG3204S,Land,"3EL3YU4MPS Street, City, Country",2023-12-10,176.92,Product_Z3QU0,Shipped,467.95,Z39RRO68,Returned,2023-12-15,Cleared,Event_V38RG,47.63
P3Q78GQN0H,RBSDGSI1,Air,"RQKJ79CYZL Street, City, Country",2023-12-15,213.89,Product_BA55N,Delivered,64.95,G2T1JL2V,Returned,2023-12-20,Cleared,Event_RYMV4,15.38
6JFMAR86LM,XMSBAMQH,Sea,"1K6PMTQEYY Street, City, Country",2023-12-15,440.18,Product_E7UNW,In Transit,712.99,YGYF4LC9,Returned,2023-12-15,Cleared,Event_1QPKB,48.88
LS2RW92GFS,HQBZRN1I,Sea,"Z8B3XOOT8H Street, City, Country",2023-12-20,482.38,Product_XJWCQ,Shipped,887.5,XYXMGGP3,Not Returned,2023-12-20,Cleared,Event_8GEYH,28.7
U0PKHITCBZ,QZDRSEXD,Land,"PUC3I7WJQY Street, City, Country",2023-12-10,228.15,Product_KPVS1,In Transit,583.51,EGZY7WMD,Returned,2023-12-10,Pending,Event_YQSW5,43.68
KW6602MXZ8,30M2VVTQ,Air,"9H9U2H2RBL Street, City, Country",2023-12-10,52.76,Product_5Z28W,Shipped,444.03,BGTPYTGT,Not Returned,2023-12-15,Cleared,Event_W7613,31.93
EESL5KC20V,5T4TI78K,Air,"2UEC1LUG09 Street, City, Country",2023-12-15,185.93,Product_H0D1L,Delivered,654.14,CHYAS4ND,Not Returned,2023-12-15,Cleared,Event_1HGJ6,13.67
KLITS9DDU3,QORPMDPF,Air,"EFMEVMHWAA Street, City, Country",2023-12-10,244.47,Product_BSEN0,In Transit,607.16,4RZ5WM21,Not Returned,2023-12-15,Pending,Event_52VKR,10.15
